Year,Sex,Age Group,Aboriginal status,Region,Population
1992,Female,40-,Aboriginal,Greater Darwin,212
1992,Female,45-,Aboriginal,Greater Darwin,145
1992,Female,50-,Aboriginal,Greater Darwin,81
1992,Female,55-,Aboriginal,Greater Darwin,45
1992,Female,60-,Aboriginal,Greater Darwin,41
1992,Female,65-,Aboriginal,Greater Darwin,34
1992,Female,70-,Aboriginal,Greater Darwin,24
1992,Female,75-,Aboriginal,Greater Darwin,15
1992,Female,80-,Aboriginal,Greater Darwin,7
1992,Female,85+,Aboriginal,Greater Darwin,2
1992,Female,0-,Non-Aboriginal,Greater Darwin,3399
1992,Female,5-,Non-Aboriginal,Greater Darwin,3164
1992,Female,10-,Non-Aboriginal,Greater Darwin,2952
1992,Female,15-,Non-Aboriginal,Greater Darwin,3023
1992,Female,20-,Non-Aboriginal,Greater Darwin,3840
1992,Female,25-,Non-Aboriginal,Greater Darwin,4148
1992,Female,30-,Non-Aboriginal,Greater Darwin,4142
1992,Female,35-,Non-Aboriginal,Greater Darwin,3723
1992,Female,40-,Non-Aboriginal,Greater Darwin,3429
1992,Female,45-,Non-Aboriginal,Greater Darwin,2387
1992,Female,50-,Non-Aboriginal,Greater Darwin,1488
1992,Female,55-,Non-Aboriginal,Greater Darwin,898
